ipc-image src,ipc-lockup-overlay href,ipc-title-link-wrapper href,ipc-title__text,ipc-inline-list__item,ipc-inline-list__item (2),ipc-inline-list__item (3),sc-9fe7b0ef-0,metacritic-score-label,ipc-rating-star--rating,ipc-rating-star--voteCount,ipc-html-content-inner-div,sc-35f5f4fb-3,ipc-link href,ipc-link,ipc-link href (2),ipc-link (2),ipc-link href (3),ipc-link (3),ipc-link href (4),ipc-link (4),ipc-html-content-inner-div (2),ipc-link href (5),ipc-link (5)
,https://www.imdb.com/title/tt9419884/?ref_=ls_i_40,https://www.imdb.com/title/tt9419884/?ref_=ls_t_40,40. Doctor Strange in the Multiverse of Madness,2022,2h 6m,PG-13,60,Metascore,6.9,(544K),"Doctor Strange teams up with a mysterious teenage girl who can travel across multiverses, to battle other-universe versions of himself which threaten to wipe out the multiverse. They seek help from the Scarlet Witch, Wong and others.",Director,https://www.imdb.com/name/nm0000600/?ref_=ls_li_1_1,Sam Raimi,https://www.imdb.com/name/nm1212722/?ref_=ls_li_2_1,Benedict Cumberbatch,https://www.imdb.com/name/nm0647634/?ref_=ls_li_2_2,Elizabeth Olsen,https://www.imdb.com/name/nm0252230/?ref_=ls_li_2_3,Chiwetel Ejiofor,"Didn't meet the hype, but certainly had its moments of ridiculous special effects. Another fun one to watch & if you're a fan of the first film, this isn't as good, but you will still enjoy it.",,
,https://www.imdb.com/title/tt15374070/?ref_=ls_i_41,https://www.imdb.com/title/tt15374070/?ref_=ls_t_41,41. Studio 666,2022,1h 46m,R,50,Metascore,5.6,(17K),Legendary rock band Foo Fighters move into an Encino mansion steeped in grisly rock and roll history to record their much anticipated 10th album.,Director,https://www.imdb.com/name/nm1103496/?ref_=ls_li_1_1,BJ McDonnell,https://www.imdb.com/name/nm0342970/?ref_=ls_li_2_1,Dave Grohl,https://www.imdb.com/name/nm0578829/?ref_=ls_li_2_2,Nate Mendel,https://www.imdb.com/name/nm0751942/?ref_=ls_li_2_3,Pat Smear,"A good horror film, the band makes it even better. Far from the best, but still a fun one to watch, especially for any fans out there.",,
,https://www.imdb.com/title/tt11116912/?ref_=ls_i_42,https://www.imdb.com/title/tt11116912/?ref_=ls_t_42,42. Troll,2022,1h 41m,TV-14,62,Metascore,5.8,(59K),"Deep in the Dovre mountain, something gigantic wakes up after a thousand years in captivity. The creature destroys everything in its path and quickly approaches Oslo.",Director,https://www.imdb.com/name/nm1012385/?ref_=ls_li_1_1,Roar Uthaug,https://www.imdb.com/name/nm3462742/?ref_=ls_li_2_1,Ine Marie Wilmann,https://www.imdb.com/name/nm1504755/?ref_=ls_li_2_2,Kim Falck,https://www.imdb.com/name/nm3162723/?ref_=ls_li_2_3,Mads Sjøgård Pettersen,"A fun netflix movie, nothing too great but worth an evening watch if you are bored.",,
,https://www.imdb.com/title/tt15791034/?ref_=ls_i_43,https://www.imdb.com/title/tt15791034/?ref_=ls_t_43,43. Barbarian,2022,1h 42m,R,78,Metascore,7.0,(259K),A woman staying at an Airbnb discovers that the house she has rented is not what it seems.,Director,https://www.imdb.com/name/nm1199107/?ref_=ls_li_1_1,Zach Cregger,https://www.imdb.com/name/nm3569284/?ref_=ls_li_2_1,Georgina Campbell,https://www.imdb.com/name/nm0803889/?ref_=ls_li_2_2,Bill Skarsgård,https://www.imdb.com/name/nm0519043/?ref_=ls_li_2_3,Justin Long,"Original, but maybe so much so that it just becomes odd and not in a great way. Worth a watch once if you enjoy horror movies.",,
,https://www.imdb.com/title/tt4028464/?ref_=ls_i_44,https://www.imdb.com/title/tt4028464/?ref_=ls_t_44,44. The Innocents,2021,1h 57m,Not Rated,79,Metascore,7.0,(30K),"During the bright Nordic summer, a group of children reveal their dark and mysterious powers when the adults aren't looking. In this original and gripping supernatural thriller, playtime takes a dangerous turn.",Director,https://www.imdb.com/name/nm1258777/?ref_=ls_li_1_1,Eskil Vogt,https://www.imdb.com/name/nm12248293/?ref_=ls_li_2_1,Rakel Lenora Petersen Fløttum,https://www.imdb.com/name/nm15466156/?ref_=ls_li_2_2,Alva Brynsmo Ramstad,https://www.imdb.com/name/nm12248295/?ref_=ls_li_2_3,Sam Ashraf,"A strange film about kids with psychic powers, certainly worth a watch to any horror fans out there.",,
,https://www.imdb.com/title/tt13841850/?ref_=ls_i_45,https://www.imdb.com/title/tt13841850/?ref_=ls_t_45,45. Men,2022,1h 40m,R,65,Metascore,6.0,(79K),A young woman goes on a solo vacation to the English countryside following the death of her ex-husband.,Director,https://www.imdb.com/name/nm0307497/?ref_=ls_li_1_1,Alex Garland,https://www.imdb.com/name/nm2976580/?ref_=ls_li_2_1,Jessie Buckley,https://www.imdb.com/name/nm1239499/?ref_=ls_li_2_2,Rory Kinnear,https://www.imdb.com/name/nm5469396/?ref_=ls_li_2_3,Paapa Essiedu,"A strange woke nightmare that doesn't really make much sense, but still is an interesting film to watch.",,
,https://www.imdb.com/title/tt13223398/?ref_=ls_i_46,https://www.imdb.com/title/tt13223398/?ref_=ls_t_46,46. Beast,2022,1h 33m,R,54,Metascore,5.6,(48K),A father and his two teenage daughters find themselves hunted by a massive rogue lion intent on proving that the savanna has but one apex predator.,Director,https://www.imdb.com/name/nm0466349/?ref_=ls_li_1_1,Baltasar Kormákur,https://www.imdb.com/name/nm13952911/?ref_=ls_li_2_1,Liyabuya Gongo,https://www.imdb.com/name/nm3678893/?ref_=ls_li_2_2,Martin Munro,https://www.imdb.com/name/nm2748615/?ref_=ls_li_2_3,Daniel Hadebe,"Decent animal horror, worth watching once for the characters and cinematography.",,
,https://www.imdb.com/title/tt11541872/?ref_=ls_i_47,https://www.imdb.com/title/tt11541872/?ref_=ls_t_47,47. Big Bug,2022,1h 51m,TV-MA,46,Metascore,5.5,(11K),A group of bickering suburbanites find themselves stuck together when an android uprising causes their well intentioned household robots to lock them in for their own safety.,Director,https://www.imdb.com/name/nm0000466/?ref_=ls_li_1_1,Jean-Pierre Jeunet,https://www.imdb.com/name/nm0620964/?ref_=ls_li_2_1,Isabelle Nanty,https://www.imdb.com/name/nm0959113/?ref_=ls_li_2_2,Elsa Zylberstein,https://www.imdb.com/name/nm0674816/?ref_=ls_li_2_3,Claude Perron,"Interesting, but far from great. Some of the ideas and comedy surrounding potential aspects of the future were well done, and it does come with a few genuine laughs, but all and all it still falls short of expectation and execution.",,
,https://www.imdb.com/title/tt9198364/?ref_=ls_i_48,https://www.imdb.com/title/tt9198364/?ref_=ls_t_48,48. Three Thousand Years of Longing,2022,1h 48m,R,60,Metascore,6.7,(72K),"A lonely scholar, on a trip to Istanbul, discovers a Djinn who offers her three wishes in exchange for his freedom.",Director,https://www.imdb.com/name/nm0004306/?ref_=ls_li_1_1,George Miller,https://www.imdb.com/name/nm0842770/?ref_=ls_li_2_1,Tilda Swinton,https://www.imdb.com/name/nm0252961/?ref_=ls_li_2_2,Idris Elba,https://www.imdb.com/name/nm7301486/?ref_=ls_li_2_3,Erdil Yasaroglu,"Enjoyable but had a hard time getting into this one. Fun for an afternoon watch without expectation, but nothing great here.",,
,https://www.imdb.com/title/tt1877830/?ref_=ls_i_49,https://www.imdb.com/title/tt1877830/?ref_=ls_t_49,49. The Batman,2022,2h 56m,PG-13,72,Metascore,7.8,(925K),"When a sadistic serial killer begins murdering key political figures in Gotham, the Batman is forced to investigate the city's hidden corruption and question his family's involvement.",Director,https://www.imdb.com/name/nm0716257/?ref_=ls_li_1_1,Matt Reeves,https://www.imdb.com/name/nm1500155/?ref_=ls_li_2_1,Robert Pattinson,https://www.imdb.com/name/nm2368789/?ref_=ls_li_2_2,Zoë Kravitz,https://www.imdb.com/name/nm0942482/?ref_=ls_li_2_3,Jeffrey Wright,"A good movie, but not quite a great one. A worthy addition to the Batman films, more of a crime thriller than an action movie and this certainly works for the dark atmosphere that the film creates. Worth seeing on the big screen.",,
,https://www.imdb.com/title/tt15275256/?ref_=ls_i_50,https://www.imdb.com/title/tt15275256/?ref_=ls_t_50,50. The Infernal Machine,2022,1h 51m,R,,,5.5,(4.9K),A reclusive and controversial author is drawn out of hiding when he begins to receive endless letters from an obsessive fan.,Director,https://www.imdb.com/name/nm2133257/?ref_=ls_li_1_1,Andrew Hunt,https://www.imdb.com/name/nm0001602/?ref_=ls_li_2_1,Guy Pearce,https://www.imdb.com/name/nm0001111/?ref_=ls_li_2_2,Jeremy Davies,https://www.imdb.com/name/nm2223584/?ref_=ls_li_2_3,Eduardo Frazão,Good but not great thriller with an interesting setup. As a writer I enjoyed watching it once.,,
