ipc-image src,ipc-lockup-overlay href,ipc-title-link-wrapper href,ipc-title__text,ipc-inline-list__item,ipc-inline-list__item (2),ipc-inline-list__item (3),sc-9fe7b0ef-0,metacritic-score-label,ipc-rating-star--rating,ipc-rating-star--voteCount,ipc-rating-star--rate,ipc-btn__text,ipc-html-content-inner-div,sc-35f5f4fb-3,ipc-link href,ipc-link,sc-35f5f4fb-3 (2),ipc-link href (2),ipc-link (2),ipc-link href (3),ipc-link (3),ipc-link href (4),ipc-link (4),ipc-html-content-inner-div (2),ipc-link href (5),ipc-link (5),ipc-link href (6),ipc-link (6)
,https://www.imdb.com/title/tt9639470/?ref_=ls_i_24,https://www.imdb.com/title/tt9639470/?ref_=ls_t_24,24. Last Night in Soho,2021,1h 56m,R,65,Metascore,7.0,(199K),Rate,Mark as watched,"Aspiring fashion designer Eloise is mysteriously able to return to 1960s London, where she encounters dazzling wannabe singer Sandie. But the glamour is not as it seems, and the dreams of the past crack and splinter into something darker.",Director,https://www.imdb.com/name/nm0942367/?ref_=ls_li_1_1,Edgar Wright,Stars,https://www.imdb.com/name/nm5057169/?ref_=ls_li_2_1,Thomasin McKenzie,https://www.imdb.com/name/nm5896355/?ref_=ls_li_2_2,Anya Taylor-Joy,https://www.imdb.com/name/nm1741002/?ref_=ls_li_2_3,Matt Smith,Edgar Wright is one of my favorite directors and it is a shame we didn’t get to see this film in 2020. But 2021 is looking kinda better. I really hope this will be awesome. October is a good date for this because this is a major turn in direction for Wright so I can’t freaking wait.,,,,
,https://www.imdb.com/title/tt11286314/?ref_=ls_i_25,https://www.imdb.com/title/tt11286314/?ref_=ls_t_25,25. Don't Look Up,2021,2h 18m,R,49,Metascore,7.1,(670K),Rate,Mark as watched,Two low-level astronomers must go on a giant media tour to warn humankind of an approaching comet that will destroy planet Earth.,Director,https://www.imdb.com/name/nm0570912/?ref_=ls_li_1_1,Adam McKay,Stars,https://www.imdb.com/name/nm0000138/?ref_=ls_li_2_1,Leonardo DiCaprio,https://www.imdb.com/name/nm2225369/?ref_=ls_li_2_2,Jennifer Lawrence,https://www.imdb.com/name/nm0000658/?ref_=ls_li_2_3,Meryl Streep,I love JLaw and I’m glad to see her back in action. I’m okay with her here as a lead and a nice little break is maybe what other people need. I certainly think she could be in a movie a year no problem but seeing what JGL has done in 2020 with hit after hit maybe a little break is what people need.,,,,
,https://www.imdb.com/title/tt0293429/?ref_=ls_i_26,https://www.imdb.com/title/tt0293429/?ref_=ls_t_26,26. Mortal Kombat,2021,1h 50m,R,44,Metascore,6.1,(205K),Rate,Mark as watched,MMA fighter Cole Young seeks out Earth's greatest champions in order to stand against the enemies of Outworld in a high stakes battle for the universe.,Director,https://www.imdb.com/name/nm2585406/?ref_=ls_li_1_1,Simon McQuoid,Stars,https://www.imdb.com/name/nm1167985/?ref_=ls_li_2_1,Lewis Tan,https://www.imdb.com/name/nm2537621/?ref_=ls_li_2_2,Jessica McNamee,https://www.imdb.com/name/nm0493257/?ref_=ls_li_2_3,Josh Lawson,If anything I’m just really glad to see Joe Taslim get more work and a big role as well. He is freaking Sub Zero. Hell if more Raid actors are getting work than it is fine by me. Then yes I’m glad to see it.,,,,
,https://www.imdb.com/title/tt10954652/?ref_=ls_i_27,https://www.imdb.com/title/tt10954652/?ref_=ls_t_27,27. Old,2021,1h 48m,PG-13,55,Metascore,5.8,(183K),Rate,Mark as watched,"A vacationing family discovers that the secluded beach where they're relaxing for a few hours is somehow causing them to age rapidly, reducing their entire lives into a single day.",Director,https://www.imdb.com/name/nm0796117/?ref_=ls_li_1_1,M. Night Shyamalan,Stars,https://www.imdb.com/name/nm0305558/?ref_=ls_li_2_1,Gael García Bernal,https://www.imdb.com/name/nm3043279/?ref_=ls_li_2_2,Vicky Krieps,https://www.imdb.com/name/nm0001722/?ref_=ls_li_2_3,Rufus Sewell,There is actually a lot of original films that sound pretty well. And this looks like one of them. So I can’t wait.,,,,
,https://www.imdb.com/title/tt9603212/?ref_=ls_i_28,https://www.imdb.com/title/tt9603212/?ref_=ls_t_28,28. Mission: Impossible - Dead Reckoning Part One,2023,2h 43m,PG-13,81,Metascore,7.6,(327K),Rate,Mark as watched,Ethan Hunt and his IMF team must track down a terrifying new weapon that threatens all of humanity.,Director,https://www.imdb.com/name/nm0003160/?ref_=ls_li_1_1,Christopher McQuarrie,Stars,https://www.imdb.com/name/nm0000129/?ref_=ls_li_2_1,Tom Cruise,https://www.imdb.com/name/nm2017943/?ref_=ls_li_2_2,Hayley Atwell,https://www.imdb.com/name/nm0000609/?ref_=ls_li_2_3,Ving Rhames,I really hope it doesn’t get re-schedule or anything like that because I really hope it stays. He’ll Top Gun 2 has been moved twice. This is my favorite franchise and it is because of Christopher McQuarrie’s excellent directing. So hopefully this is a good one. Now it is my most anticipated film of 2021.,,,,
,https://www.imdb.com/title/tt9777666/?ref_=ls_i_29,https://www.imdb.com/title/tt9777666/?ref_=ls_t_29,29. The Tomorrow War,2021,2h 18m,PG-13,45,Metascore,6.6,(253K),Rate,Mark as watched,A family man travels to the year 2051 to join a global war against a deadly alien species.,Director,https://www.imdb.com/name/nm0003021/?ref_=ls_li_1_1,Chris McKay,Stars,https://www.imdb.com/name/nm0695435/?ref_=ls_li_2_1,Chris Pratt,https://www.imdb.com/name/nm2088803/?ref_=ls_li_2_2,Yvonne Strahovski,https://www.imdb.com/name/nm0799777/?ref_=ls_li_2_3,J.K. Simmons,,,,,
,https://www.imdb.com/title/tt8332922/?ref_=ls_i_30,https://www.imdb.com/title/tt8332922/?ref_=ls_t_30,30. A Quiet Place Part II,2020,1h 37m,PG-13,71,Metascore,7.2,(322K),Rate,Mark as watched,"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize the creatures that hunt by sound are not the only threats lurking beyond the sand path.",Director,https://www.imdb.com/name/nm1024677/?ref_=ls_li_1_1,John Krasinski,Stars,https://www.imdb.com/name/nm1289434/?ref_=ls_li_2_1,Emily Blunt,https://www.imdb.com/name/nm8075925/?ref_=ls_li_2_2,Millicent Simmonds,https://www.imdb.com/name/nm0614165/?ref_=ls_li_2_3,Cillian Murphy,Can we just call a quits for 2020?,,,,
,https://www.imdb.com/title/tt2382320/?ref_=ls_i_31,https://www.imdb.com/title/tt2382320/?ref_=ls_t_31,31. No Time to Die,2021,2h 43m,PG-13,68,Metascore,7.3,(487K),Rate,Mark as watched,"James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.",Director,https://www.imdb.com/name/nm1560977/?ref_=ls_li_1_1,Cary Joji Fukunaga,Stars,https://www.imdb.com/name/nm0185819/?ref_=ls_li_2_1,Daniel Craig,https://www.imdb.com/name/nm1869101/?ref_=ls_li_2_2,Ana de Armas,https://www.imdb.com/name/nm1785339/?ref_=ls_li_2_3,Rami Malek,Damn they just released the music video for Billie Eyelash song for this movie. O well it is what it is.,,,,
,https://www.imdb.com/title/tt1745960/?ref_=ls_i_32,https://www.imdb.com/title/tt1745960/?ref_=ls_t_32,32. Top Gun: Maverick,2022,2h 10m,PG-13,78,Metascore,8.2,(857K),Rate,Mark as watched,"The story involves Maverick confronting his past while training a group of younger Top Gun graduates, including the son of his deceased best friend, for a dangerous mission.",Director,https://www.imdb.com/name/nm2676052/?ref_=ls_li_1_1,Joseph Kosinski,Stars,https://www.imdb.com/name/nm0000129/?ref_=ls_li_2_1,Tom Cruise,https://www.imdb.com/name/nm0000124/?ref_=ls_li_2_2,Jennifer Connelly,https://www.imdb.com/name/nm1886602/?ref_=ls_li_2_3,Miles Teller,Yep I knew it.,,,,
,https://www.imdb.com/title/tt5034838/?ref_=ls_i_33,https://www.imdb.com/title/tt5034838/?ref_=ls_t_33,33. Godzilla vs. Kong,2021,1h 53m,PG-13,59,Metascore,6.3,(267K),Rate,Mark as watched,The epic next chapter in the cinematic Monsterverse pits two of the greatest icons in motion picture history against each other--the fearsome Godzilla and the mighty Kong--with humanity caught in the balance.,Director,https://www.imdb.com/name/nm1417392/?ref_=ls_li_1_1,Adam Wingard,Stars,https://www.imdb.com/name/nm0002907/?ref_=ls_li_2_1,Alexander Skarsgård,https://www.imdb.com/name/nm5611121/?ref_=ls_li_2_2,Millie Bobby Brown,https://www.imdb.com/name/nm0356017/?ref_=ls_li_2_3,Rebecca Hall,"Come on you cowards release this shit on HBOMax, and in theaters simultaneously. If the time comes and if theaters are open I will be glad to watch this film in theaters. But cmon case are spiking no theater is looking to open any time soon, and hell even if they do open but the time this does release in time you are not going to open any bigger than $20 million. People are already sour from the last movie. And this movie has already been pushed back just like Wonder Woman 84. The only thing that I would say that would prevent this film from being put on HBOMax is that this film has no advertisements. Nothing no trailer not even a official set photo. So what good would it do if it gets pushed back a year. Nothing but consumers so called film lovers who love the Kong and Godzilla want to see this film so bad. It would be cool to see this film on the big screen but also seeing at the comfort at my own home to not risk getting sick. I’ll take that deal any day of the week. And if I feel safe at that moment to go see it, then I will.",,,,
