ipc-image src,ipc-lockup-overlay href,ipc-title-link-wrapper href,ipc-title__text,ipc-inline-list__item,ipc-inline-list__item (2),ipc-inline-list__item (3),sc-9fe7b0ef-0,ipc-rating-star--rating,ipc-rating-star--voteCount,ipc-html-content-inner-div,sc-35f5f4fb-3,ipc-link href,ipc-link,ipc-link href (2),ipc-link (2),ipc-link href (3),ipc-link (3),ipc-link href (4),ipc-link (4),ipc-link href (5),ipc-link (5)
,https://www.imdb.com/title/tt12299608/?ref_=ls_i_11,https://www.imdb.com/title/tt12299608/?ref_=ls_t_11,11. Mickey 17,2025,2h 17m,R,72,6.7,(244K),"During a human expedition to colonize space, Mickey 17, a so-called ""expendable"" employee, is sent to explore an ice planet.",Director,https://www.imdb.com/name/nm0094435/?ref_=ls_li_1_1,Bong Joon Ho,https://www.imdb.com/name/nm1500155/?ref_=ls_li_2_1,Robert Pattinson,https://www.imdb.com/name/nm3081796/?ref_=ls_li_2_2,Steven Yeun,https://www.imdb.com/name/nm11547964/?ref_=ls_li_2_3,Michael Monroe,,
,https://www.imdb.com/title/tt27714581/?ref_=ls_i_12,https://www.imdb.com/title/tt27714581/?ref_=ls_t_12,12. Sentimental Value,2025,2h 13m,R,86,7.7,(75K),"An intimate exploration of family, memories, and the reconciliatory power of art.",Director,https://www.imdb.com/name/nm1258686/?ref_=ls_li_1_1,Joachim Trier,https://www.imdb.com/name/nm4561559/?ref_=ls_li_2_1,Renate Reinsve,https://www.imdb.com/name/nm0001745/?ref_=ls_li_2_2,Stellan Skarsgård,https://www.imdb.com/name/nm6635521/?ref_=ls_li_2_3,Inga Ibsdotter Lilleaas,,
,https://www.imdb.com/title/tt23853982/?ref_=ls_i_13,https://www.imdb.com/title/tt23853982/?ref_=ls_t_13,13. Parthenope,2024,2h 17m,R,52,6.5,(20K),"A woman born in the sea of Naples in 1950 searches for happiness over the long summers of her youth, falling in love with her home city and its many memorable characters.",Director,https://www.imdb.com/name/nm0815204/?ref_=ls_li_1_1,Paolo Sorrentino,https://www.imdb.com/name/nm12578178/?ref_=ls_li_2_1,Celeste Dalla Porta,https://www.imdb.com/name/nm0762248/?ref_=ls_li_2_2,Stefania Sandrelli,https://www.imdb.com/name/nm0000198/?ref_=ls_li_2_3,Gary Oldman,,
,https://www.imdb.com/title/tt29768334/?ref_=ls_i_14,https://www.imdb.com/title/tt29768334/?ref_=ls_t_14,14. Train Dreams,2025,1h 42m,PG-13,88,7.5,(103K),"Based on Denis Johnson's beloved novella, Train Dreams is the moving portrait of Robert Grainier, a logger and railroad worker who leads a life of unexpected depth and beauty in the rapidly-changing America of the early 20th Century.",Director,https://www.imdb.com/name/nm3286079/?ref_=ls_li_1_1,Clint Bentley,https://www.imdb.com/name/nm0249291/?ref_=ls_li_2_1,Joel Edgerton,https://www.imdb.com/name/nm0004286/?ref_=ls_li_2_2,Clifton Collins Jr.,https://www.imdb.com/name/nm0428065/?ref_=ls_li_2_3,Felicity Jones,,
,https://www.imdb.com/title/tt30446847/?ref_=ls_i_15,https://www.imdb.com/title/tt30446847/?ref_=ls_t_15,15. Jay Kelly,2025,2h 12m,R,67,6.5,(39K),"Famous movie actor Jay Kelly embarks on a journey of self-discovery, confronting his past and present with his devoted manager Ron. Poignant and humor-filled, pitched at the intersection of regrets and glories.",Director,https://www.imdb.com/name/nm0000876/?ref_=ls_li_1_1,Noah Baumbach,https://www.imdb.com/name/nm0000123/?ref_=ls_li_2_1,George Clooney,https://www.imdb.com/name/nm0001191/?ref_=ls_li_2_2,Adam Sandler,https://www.imdb.com/name/nm0870199/?ref_=ls_li_2_3,Stanley Townsend,,
,https://www.imdb.com/title/tt32536315/?ref_=ls_i_16,https://www.imdb.com/title/tt32536315/?ref_=ls_t_16,16. Blue Moon,2025,1h 40m,R,78,6.8,(23K),"Tells the story of Lorenz Hart's struggles with alcoholism and mental health as he tries to save face during the opening of ""Oklahoma!"".",Director,https://www.imdb.com/name/nm0000500/?ref_=ls_li_1_1,Richard Linklater,https://www.imdb.com/name/nm0000160/?ref_=ls_li_2_1,Ethan Hawke,https://www.imdb.com/name/nm0134072/?ref_=ls_li_2_2,Bobby Cannavale,https://www.imdb.com/name/nm0778831/?ref_=ls_li_2_3,Andrew Scott,,
,https://www.imdb.com/title/tt11214558/?ref_=ls_i_17,https://www.imdb.com/title/tt11214558/?ref_=ls_t_17,17. The Smashing Machine,2025,2h 3m,R,65,6.3,(71K),"The story of mixed-martial arts and UFC champion, Mark Kerr.",Director,https://www.imdb.com/name/nm1509478/?ref_=ls_li_1_1,Benny Safdie,https://www.imdb.com/name/nm0425005/?ref_=ls_li_2_1,Dwayne Johnson,https://www.imdb.com/name/nm1289434/?ref_=ls_li_2_2,Emily Blunt,https://www.imdb.com/name/nm3170784/?ref_=ls_li_2_3,Ryan Bader,,
,https://www.imdb.com/title/tt34966650/?ref_=ls_i_18,https://www.imdb.com/title/tt34966650/?ref_=ls_t_18,"18. It's Never Over, Jeff Buckley",2025,1h 46m,Not Rated,72,7.6,(2.7K),"Never-before-seen footage, exclusive voice messages, and accounts from Jeff Buckley's inner circle paint a captivating portrait of the gifted musician who died tragically in 1997, having only released one album.",Director,https://www.imdb.com/name/nm1332844/?ref_=ls_li_1_1,Amy Berg,https://www.imdb.com/name/nm0118623/?ref_=ls_li_2_1,Jeff Buckley,https://www.imdb.com/name/nm1316975/?ref_=ls_li_2_2,Mary Guibert,https://www.imdb.com/name/nm0363816/?ref_=ls_li_2_3,Ben Harper,,
,https://www.imdb.com/title/tt6604188/?ref_=ls_i_19,https://www.imdb.com/title/tt6604188/?ref_=ls_t_19,19. Tron: Ares,2025,1h 59m,PG-13,48,6.1,(79K),"A highly sophisticated program, Ares, is sent from the digital world into the real world on a dangerous mission.",Director,https://www.imdb.com/name/nm1461392/?ref_=ls_li_1_1,Joachim Rønning,https://www.imdb.com/name/nm0001467/?ref_=ls_li_2_1,Jared Leto,https://www.imdb.com/name/nm2336966/?ref_=ls_li_2_2,Greta Lee,https://www.imdb.com/name/nm0000313/?ref_=ls_li_2_3,Jeff Bridges,,
,https://www.imdb.com/title/tt30253473/?ref_=ls_i_20,https://www.imdb.com/title/tt30253473/?ref_=ls_t_20,20. Materialists,2025,1h 56m,R,70,6.2,(96K),An ambitious young New York City matchmaker finds herself torn between the perfect match and her imperfect ex.,Director,https://www.imdb.com/name/nm10227660/?ref_=ls_li_1_1,Celine Song,https://www.imdb.com/name/nm0424848/?ref_=ls_li_2_1,Dakota Johnson,https://www.imdb.com/name/nm0262635/?ref_=ls_li_2_2,Chris Evans,https://www.imdb.com/name/nm0050959/?ref_=ls_li_2_3,Pedro Pascal,,
